well_id,permeability_md,porosity_fraction,net_to_gross,thickness_ft,well_depth_ft,tubing_diameter_in,choke_size_64th,well_type,completion_type,artificial_lift,reservoir_pressure_psi,reservoir_temp_f,bottomhole_pressure_psi,wellhead_pressure_psi,oil_gravity_api,gas_oil_ratio_scf_bbl,water_cut_fraction,fvf_oil,oil_viscosity_cp,oil_rate_bbl_day,gas_rate_scf_day,water_rate_bbl_day,productivity_index,oil_price_usd_bbl,gas_price_usd_mcf,daily_opex_usd,drilling_cost_usd,completion_cost_usd,total_capex_usd,daily_revenue_usd,performance_index,oil_cut,profit_per_barrel,production_efficiency,economic_efficiency,ranking_score,drill_date,well_age_days,production_months,days_since_workover,pressure_drawdown,total_liquid_rate,productivity_factor,depth_category
1,12.142529843551035,0.19630887737658206,0.7319301200205167,24.336113441271028,7816.914301818084,2.875,40.952149465393326,Horizontal,Slotted Liner,Gas Lift,4015.857729101085,203.26655529464534,3297.6904692689013,2638.1523754151212,48.488745234711956,89.18483574904059,0.2693830184720278,1.1026755450724712,49.339189429142344,7.678190528110807,684.7781610994016,2.830992657120407,0.003975486350823817,76.23018673526755,3.4884995095042832,375.1956119955783,887084.4092458723,631088.2726688696,1518172.6819147419,212.50313403038564,113.67419956915275,0.7306169815279722,27.320381682910398,0.731616981527972,0.566379582373394,25.568572513406462,2015-09-27,3384,22.669506534777845,618.3704051059976,718.1672598321838,10.509183185231215,2.383686402099148,Medium
2,6.434896125657351,0.24547083202350653,0.8179312514224184,133.2116544062542,5886.339608366034,2.875,19.80273356807475,Horizontal,Perforated,Rod Pump,3047.4344932259905,171.8744219564234,2445.3226492455624,1956.25811939645,26.08180911170202,106.13176897245252,0.2044937733685169,1.1031839530691736,100.0,5.0,530.6588448622626,1.2853043097699488,0.006355542522853386,79.56039588383695,3.480280744525069,322.6487003934303,852804.8768163143,651547.966568761,1504352.8433850752,77.00012078544046,97.77698820035619,0.7955062266314831,15.098062899105972,0.7965062266314831,0.23865002614778333,25.975527913176933,2021-03-13,1390,40.22488197293452,30.0,602.1118439804281,6.285304309769948,1.5795793059499488,Medium
3,14.121359906705182,0.08007162130904293,0.7305395860022423,73.85404503269604,7387.046131194995,2.875,21.256346647814645,Vertical,Perforated,Rod Pump,4084.40898597632,171.67660240894253,3490.959928118355,2792.767942494684,44.46170745499523,85.85417694165307,0.2715570604106805,1.1025756253082497,72.43869829656595,5.0,429.2708847082653,1.8639530487670632,0.009539278716939593,80.90665296704378,3.930136094561518,338.23441436071704,1293442.5722752851,486971.37507160835,1780413.9473468936,67.98594347283819,86.86601008731711,0.7284429395893195,13.3305771515369,0.7294429395893195,0.2010024426442106,23.86740046939437,2023-12-06,392,31.99554487947893,156.46102749104216,593.4490578579648,6.863953048767064,1.130720182818399,Medium
4,33.88694565868619,0.17814846183452854,0.7988384700767959,55.71252200758835,8718.228122319613,3.5,43.16970601589407,Deviated,Perforated,Natural Flow,4773.433600873515,183.920458540688,4296.090240786164,3436.8721926289313,25.738006033089604,419.08309179225114,0.15580948501047476,1.1125724927537677,100.0,8.856986679694124,3711.813361688998,1.634703155391107,0.013555511128523294,70.88634511977844,3.6454151163070536,310.9594510778225,1061199.3887997053,577026.6528483104,1638226.0416480158,330.41106395786727,169.89902912851164,0.8441905149895252,36.88864076430117,0.8451905149895254,1.062553534914675,30.49794348078568,2018-01-03,2555,3.784677262787194,211.93791433115877,477.34336008735136,10.491689835085232,6.036907245365199,Deep
5,5.846520075035395,0.11746787154390864,0.8185547463403928,33.29831993593953,9019.363527740961,4.5,54.47661721989683,Deviated,Perforated,Rod Pump,4743.758462446094,219.20075104002046,4269.382616201485,3415.506092961188,36.19444192980353,61.77076195499813,0.23477539102049552,1.1018531228586501,80.12852526162696,5.0,308.8538097749906,1.5340272742151764,0.0018049145313073817,51.655844107848594,3.298163459297216,354.2276625516248,928617.228468582,419564.98421679006,1348182.2126853722,-94.92979166271726,55.638013696624874,0.7652246089795045,-18.613684639748485,0.7662246089795045,-0.26799090443390283,23.87117513824156,2019-09-06,1944,46.00740544246003,397.47061423325334,474.3758462446094,6.534027274215177,0.6867782691531409,Deep
6,5.846616062669532,0.1256437308117652,0.754552963833349,75.32943391267337,8224.129210263796,3.5,31.275155793632692,Vertical,Open Hole,Natural Flow,4444.381823858513,186.15364694509114,3999.9436414726615,3199.9549131781296,43.15196665350352,313.1355681945049,0.13121303016293484,1.1093940670458353,70.07693574954469,5.0,1565.6778409725246,0.7551499026139996,0.004274625442452994,69.11642977534359,2.6979481200019553,295.496442005252,1046058.7610820165,455651.3560981745,1501710.117180191,54.309824459046524,101.26167650506478,0.8687869698370652,10.64898518804834,0.8697869698370652,0.18379180504001214,28.053157546192104,2016-05-24,3144,7.9458542734809345,373.0218861615854,444.4381823858512,5.755149902614,0.7345906547377932,Deep
7,35.845312863785985,0.12038030378805653,0.8338031951754488,39.99810229916376,7567.4116995495515,4.5,22.464824031145163,Vertical,Perforated,Natural Flow,3840.475550935667,176.5076582537772,3456.4279958421002,2765.14239667368,33.98558424716113,310.89254895916343,0.12063426102487637,1.109326776468775,100.0,5.0,1554.4627447958171,0.6859155326108428,0.01077645255583794,66.12120814463823,4.587996216449958,288.8600325281064,1108966.6336676301,636766.0513651163,1745732.6850327463,48.87787738682039,100.29793441149863,0.8793657389751236,9.583897526827528,0.8803657389751236,0.16920955439574187,28.337400697773152,2022-03-11,1027,36.0416937315615,687.0066195762212,384.04755509356664,5.685915532610843,4.315069651920488,Medium
8,15.917748255147648,0.10680046151600919,0.7968827992877133,124.4155210791541,7820.088089560291,3.5,56.55264998699362,Horizontal,Perforated,ESP,4240.864604525168,209.2153691868177,3262.4827001889244,2609.9861601511398,44.36061650423705,526.1338459882471,0.12515724815412568,1.1157840153796474,57.82749618639014,116.95928083493399,61536.2362497033,16.732475604357763,0.024458855050248703,78.10562483704277,5.0852811221210805,687.3315585872957,219446.57444084514,496009.56884109473,715456.1432819399,8760.775212043385,1161.0457063613849,0.8748427518458743,74.84050089455964,0.8758427518458742,12.746068622325172,90.23151463257214,2018-01-21,2537,30.898416930122156,129.16811741742126,978.3819043362437,133.69175643929177,1.7000228599454188,Medium
9,4.620604839036434,0.15242608139724134,0.7304936855349801,80.53610212650439,9110.610683565856,2.875,45.479024338046756,Horizontal,Perforated,ESP,4235.044562016033,254.17123891292366,3811.5401058144294,3049.2320846515436,32.827533569649326,201.73468410057552,0.18037603769911156,1.1060520405230174,78.91089804798756,5.0,1008.6734205028777,1.1003571511094035,0.0031145359912682124,77.19238917490338,4.895367858073649,404.706463986768,1062145.1533565102,515967.7761830821,1578112.9295395922,-13.806690670228079,77.97353196357997,0.8196239623008884,-2.7071942490643295,0.8206239623008884,-0.034115320358904605,26.059801192170934,2017-12-12,2577,9.81381825348836,319.75966348959116,423.50445620160326,6.100357151109403,0.7043006892994548,Deep
10,12.712173066814993,0.1084524941794481,0.9012236973763226,30.921788330185862,8050.85117618819,4.5,33.09278728785229,Deviated,Open Hole,ESP,4163.402310079169,182.28537929771718,3747.0620790712524,2997.649663257002,24.780656009751745,71.59985328283202,0.1520765941132132,1.102147995598485,100.0,5.0,357.99926641416005,0.8967579719218399,0.0032142310153726894,72.27620376914774,4.059264709395342,393.9052697338037,778065.9935116142,396686.3759921432,1174752.3695037575,-31.071037099920602,77.59415936107123,0.8479234058867868,-6.092360215670706,0.8489234058867868,-0.07887946541288474,26.806639670522607,2016-05-10,3158,9.024407577313333,100.3250376685923,416.3402310079168,5.89675797192184,1.37866687553689,Deep
